stage,table_name,record_id,issue_type,details,action_taken
Dimension_Cleaning,customers_crm,C0012,DUPLICATE_CUSTOMER_ID,Duplicate customer_id C0012 in CRM; kept latest occurrence,DEDUPLICATED
Dimension_Cleaning,customers_crm,C0045,DUPLICATE_CUSTOMER_ID,Duplicate customer_id C0045 in CRM; kept latest occurrence,DEDUPLICATED
Dimension_Cleaning,customers_crm,C0088,DUPLICATE_CUSTOMER_ID,Duplicate customer_id C0088 in CRM; kept latest occurrence,DEDUPLICATED
Payment_Cleaning,payments,ORD000101,DUPLICATE_PAYMENT_ORDER_ID,Duplicate payment event for order_id ORD000101; kept latest occurrence,DEDUPLICATED
Order_Deduplication,orders,ORD000056,DUPLICATE_ORDER_ID,Duplicate order_id ORD000056 in combined orders; kept last occurrence,DROPPED
Order_Deduplication,orders,ORD000416,DUPLICATE_ORDER_ID,Duplicate order_id ORD000416 in combined orders; kept last occurrence,DROPPED
Business_Validation,fact_sales_staging,ORD000008,INVALID_QUANTITY,Order ORD000008 excluded: INVALID_QUANTITY,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000009,UNMATCHED_CUSTOMER_ID(C0162),Order ORD000009 excluded: UNMATCHED_CUSTOMER_ID(C0162),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000022,UNMATCHED_PRODUCT_ID(P999),Order ORD000022 excluded: UNMATCHED_PRODUCT_ID(P999),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000023,PAYMENT_FAILED,Order ORD000023 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000029,UNMATCHED_CUSTOMER_ID(C0161),Order ORD000029 excluded: UNMATCHED_CUSTOMER_ID(C0161),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000033,UNMATCHED_CUSTOMER_ID(C0164); PAYMENT_FAILED,"Order ORD000033 excluded: UNMATCHED_CUSTOMER_ID(C0164), PAYMENT_FAILED",EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000044,INVALID_UNIT_PRICE,Order ORD000044 excluded: INVALID_UNIT_PRICE,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000066,UNMATCHED_CUSTOMER_ID(C0162),Order ORD000066 excluded: UNMATCHED_CUSTOMER_ID(C0162),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000076,UNMATCHED_CUSTOMER_ID(C0163),Order ORD000076 excluded: UNMATCHED_CUSTOMER_ID(C0163),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000093,PAYMENT_FAILED,Order ORD000093 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000101,PAYMENT_FAILED,Order ORD000101 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000106,PAYMENT_REFUNDED,Order ORD000106 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000112,PAYMENT_FAILED,Order ORD000112 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000121,PAYMENT_REFUNDED,Order ORD000121 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000130,PAYMENT_FAILED,Order ORD000130 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000142,PAYMENT_FAILED,Order ORD000142 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000144,UNMATCHED_CUSTOMER_ID(C0165),Order ORD000144 excluded: UNMATCHED_CUSTOMER_ID(C0165),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000148,PAYMENT_FAILED,Order ORD000148 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000167,PAYMENT_FAILED,Order ORD000167 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000179,PAYMENT_FAILED,Order ORD000179 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000186,PAYMENT_FAILED,Order ORD000186 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000189,UNMATCHED_CUSTOMER_ID(C0165),Order ORD000189 excluded: UNMATCHED_CUSTOMER_ID(C0165),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000199,UNMATCHED_CUSTOMER_ID(C0161),Order ORD000199 excluded: UNMATCHED_CUSTOMER_ID(C0161),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000205,PAYMENT_FAILED,Order ORD000205 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000217,PAYMENT_REFUNDED,Order ORD000217 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000256,PAYMENT_FAILED,Order ORD000256 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000262,PAYMENT_FAILED,Order ORD000262 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000266,PAYMENT_REFUNDED,Order ORD000266 excluded: PAYMENT_REFUNDED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000267,UNMATCHED_CUSTOMER_ID(C0164),Order ORD000267 excluded: UNMATCHED_CUSTOMER_ID(C0164),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000276,UNMATCHED_CUSTOMER_ID(C0163),Order ORD000276 excluded: UNMATCHED_CUSTOMER_ID(C0163),EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000285,PAYMENT_FAILED,Order ORD000285 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000294,PAYMENT_FAILED,Order ORD000294 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000310,PAYMENT_FAILED,Order ORD000310 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
Business_Validation,fact_sales_staging,ORD000313,PAYMENT_FAILED,Order ORD000313 excluded: PAYMENT_FAILED,EXCLUDED_FROM_FACT
