order_id,order_date,customer_id,product_id,channel,payment_id,payment_method,quantity,unit_price,discount,net_sales,paid_at
ORD000001,2026-01-08 17:11:00,C0158,P039,Marketplace,PAY000001,Bank Transfer,2,940.5,0.0,1881.0,2026-01-08T17:30:00
ORD000002,2026-01-12 20:13:00,C0123,P038,Mobile App,PAY000002,Bank Transfer,1,12900.0,0.1,11610.0,2026-01-12T22:58:00
ORD000003,2026-01-26 14:00:00,C0119,P031,Web,PAY000003,PromptPay,3,1415.5,0.05,4034.18,2026-01-26T14:03:00
ORD000004,2026-01-18 16:18:00,C0065,P003,Mobile App,PAY000004,Bank Transfer,2,25900.0,0.0,51800.0,2026-01-18T18:24:00
ORD000005,2026-01-08 17:43:00,C0129,P007,Mobile App,PAY000005,Credit Card,2,23310.0,0.05,44289.0,2026-01-08T20:03:00
ORD000006,2026-01-23 11:50:00,C0097,P037,Mobile App,PAY000006,Bank Transfer,2,27195.0,0.0,54390.0,2026-01-23T12:37:00
ORD000007,2026-01-24 07:03:00,C0139,P001,Web,PAY000007,Bank Transfer,1,284.05,0.0,284.05,2026-01-24T09:09:00
ORD000010,2026-01-07 03:12:00,C0100,P017,Mobile App,PAY000010,Bank Transfer,2,990.0,0.1,1782.0,2026-01-07T04:36:00
ORD000011,2026-01-12 14:34:00,C0120,P028,Web,PAY000011,Credit Card,2,313.95,0.0,627.9,2026-01-12T16:27:00
ORD000012,2026-01-08 22:35:00,C0141,P008,Marketplace,PAY000012,Bank Transfer,2,449.1,0.05,853.29,2026-01-08T23:43:00
ORD000013,2026-01-27 22:41:00,C0110,P002,Mobile App,PAY000013,Bank Transfer,2,1341.0,0.0,2682.0,2026-01-28T01:23:00
ORD000014,2026-01-20 07:11:00,C0142,P017,Marketplace,PAY000014,Credit Card,4,990.0,0.0,3960.0,2026-01-20T09:42:00
ORD000015,2026-01-04 13:47:00,C0151,P018,Web,PAY000015,Bank Transfer,2,4189.5,0.0,8379.0,2026-01-04T15:28:00
ORD000016,2026-01-18 06:47:00,C0072,P006,Mobile App,PAY000016,Bank Transfer,1,313.95,0.0,313.95,2026-01-18T07:49:00
